External Tags;Name;group
Sochi2.UNIT.AM.20MAV29CT001-AM.Q;Т СЛИВ ЗАДН ПОДШ ГЕН;10
Sochi2.UNIT.AM.20MAV10CL001-AM.Q;L ГЛ МБ;11
Sochi2.UNIT.AM.20MAV10CP001-AM.Q;dL НА СТК ГЛ МБ;11
Sochi2.UNIT.AM.20MAV10CT001-AM.Q;Т ГЛ МБ;11
Sochi2.UNIT.AM.20MAV11CP001-AM.Q;Р ТР ЗА ИНЖ;11
Sochi2.UNIT.AM.20MAV11CT001-AM.Q;Т ТР ЗА ИНЖ ДО МОХЛ;11
Sochi2.UNIT.AM.20MAV11CT002-AM.Q;Т ТР ЗА МОХЛ;11
Sochi2.UNIT.AM.20MAV14CP001-AM.Q;P ВСАС ГЛ МН;11
Sochi2.UNIT.AM.20MAV14CP003-AM.Q;Р ТР ДО ИНЖ;11
Sochi2.UNIT.AM.20MAV15CP001-AM.Q;dP Ф МСЛ;11
Sochi2.UNIT.AM.20MAV16CP001-AM.Q;P КОЛ СМЗ;11
Sochi2.UNIT.AM.20MAV16CP002-AM.Q;P КОЛ СМЗ;11
Sochi2.UNIT.AM.20MAV16CP003-AM.Q;P КОЛ СМЗ;11
Sochi2.UNIT.AM.20MAV20CE002-AM.Q;I ПМН;11
Sochi2.UNIT.AM.20MAV21CE002-AM.Q;СТОЯН МН;11
Sochi2.UNIT.AM.20MAV22CE002-AM.Q;I АМН;11
Sochi2.UNIT.AM.20MAV30CL001-AM.Q;L ДР МБ;11
Sochi2.UNIT.AM.20PCB21CP001-AM.Q;P ТР ОХЛ ГТ;11
Sochi2.UNIT.AM.20PCB21CT001-AM.Q;T ТР ДО МОХЛ  ПТ;11
Sochi2.UNIT.AM.20PCB25CT001-AM.Q;T ТР ЗА МОХЛ ПТ;11
Sochi2.UNIT.AM.20PCB32CT001-AM.Q;T ТР ЗА МОХЛ ГТ;11
